"rt","responses","type","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","comparison_type","correct_side"
"3352.820000000065","{""name"":""Deepti""}","NAME","survey-html-form","0","3358","0.0-0.0-0.0","","","",""
"93801.85500000516","","","html-keyboard-response","1","97362","0.0-1.0","Welcome to the <strong>Judgment of Recency</strong> experiment! <p>Press the Space Bar to see the instructions.</p>","32","",""
"24955.164999999397","","","html-keyboard-response","2","122528","0.0-2.0","<p>In this experiment, you will encounter a number of study and question cards.<p>The <strong>study cards</strong> will have two words on it. Take note of these words; you will be asked to judge how recently you have seen them. You will have four seconds to look at the study card.</p><p>The <strong>question cards</strong> will also show you two words (with a red question mark between the words to show that it is a question card). When you encounter a question card, indicate which of the two words shown have been seen on a study card most recently. If a word has not been seen on a study card yet, treat the word as if it occurred a very long time ago. You will indicate which word occurred most recently with the ‘A’ key for the word on the left side and the ‘L’ key for the word on the right side.</p><p>Each word will be seen at most twice: once on a study card and once on a question card.</p><p>Press the Space Bar to begin.</p>","32","",""
"null","","","html-keyboard-response","3","127297","0.0-3.0","<h1 style=""font-size: 35px"">KEEPER</h1><h1 style=""font-size: 35px; margin-top: 45px;"">WRIST</h1>","null","",""
"null","","","html-keyboard-response","4","132078","0.0-4.0","<h1 style=""font-size: 35px"">CHIPMUNK</h1><h1 style=""font-size: 35px; margin-top: 45px;"">COBRA</h1>","null","",""
"null","","","html-keyboard-response","5","136840","0.0-5.0","<h1 style=""font-size: 35px"">HAWK</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SCALPEL</h1>","null","",""
"null","","","html-keyboard-response","6","141597","0.0-6.0","<h1 style=""font-size: 35px"">GRAVE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">ORANGE</h1>","null","",""
"null","","","html-keyboard-response","7","146351","0.0-7.0","<h1 style=""font-size: 35px"">CLOCK</h1><h1 style=""font-size: 35px; margin-top: 45px;"">GROUND</h1>","null","",""
"null","","","html-keyboard-response","8","151129","0.0-8.0","<h1 style=""font-size: 35px"">CLAMP</h1><h1 style=""font-size: 35px; margin-top: 45px;"">REPORT</h1>","null","",""
"null","","","html-keyboard-response","9","155899","0.0-9.0","<h1 style=""font-size: 35px"">BADGE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">LUGGAGE</h1>","null","",""
"2309.349999995902","","","html-keyboard-response","10","158970","0.0-10.0","<h1 style=""font-size: 35px;"">VENUS<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>ORANGE</h1>","76","",""
"null","","","html-keyboard-response","11","163736","0.0-11.0","<h1 style=""font-size: 35px"">TOMBSTONE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">CONVICT</h1>","null","",""
"2321.6749999992317","","","html-keyboard-response","12","166814","0.0-12.0","<h1 style=""font-size: 35px;"">CHIPMUNK<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>GRAVE</h1>","76","",""
"null","","","html-keyboard-response","13","171584","0.0-13.0","<h1 style=""font-size: 35px"">DASHBOARD</h1><h1 style=""font-size: 35px; margin-top: 45px;"">BANK</h1>","null","",""
"2186.725000006845","","","html-keyboard-response","14","174529","0.0-14.0","<h1 style=""font-size: 35px;"">LUGGAGE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>REPORT</h1>","65","",""
"null","","","html-keyboard-response","15","179300","0.0-15.0","<h1 style=""font-size: 35px"">BODY</h1><h1 style=""font-size: 35px; margin-top: 45px;"">LASER</h1>","null","",""
"1863.6200000037206","","","html-keyboard-response","16","181920","0.0-16.0","<h1 style=""font-size: 35px;"">GROUND<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>TEACHER</h1>","65","",""
"null","","","html-keyboard-response","17","186680","0.0-17.0","<h1 style=""font-size: 35px"">HATCHET</h1><h1 style=""font-size: 35px; margin-top: 45px;"">AIRPORT</h1>","null","",""
"1679.694999998901","","","html-keyboard-response","18","189119","0.0-18.0","<h1 style=""font-size: 35px;"">CLAMP<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>BANK</h1>","65","",""
