rt,responses,type,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,key_press,comparison_type,correct_side
3730.59,"{""name"":""Ricardo""}",NAME,survey-html-form,0,3738,0.0-0.0-0.0,,,,
2472.415,,,html-keyboard-response,1,6415,0.0-1.0,Welcome to the <strong>Judgment of Recency</strong> experiment! <p>Press the Space Bar to see the instructions.</p>,32,,
25162.69,,,html-keyboard-response,2,31782,0.0-2.0,"<p>In this experiment, you will encounter a number of study and question cards.<p>The <strong>study cards</strong> will have two words on it. Take note of these words; you will be asked to judge how recently you have seen them. You will have four seconds to look at the study card.</p><p>The <strong>question cards</strong> will also show you two words (with a red question mark between the words to show that it is a question card). When you encounter a question card, indicate which of the two words shown have been seen on a study card most recently. If a word has not been seen on a study card yet, treat the word as if it occurred a very long time ago. You will indicate which word occurred most recently with the ‘A’ key for the word on the left side and the ‘L’ key for the word on the right side.</p><p>Each word will be seen at most twice: once on a study card and once on a question card.</p><p>Press the Space Bar to begin.</p>",32,,
null,,,html-keyboard-response,3,36541,0.0-3.0,"<h1 style=""font-size: 35px"">CUSTARD</h1><h1 style=""font-size: 35px; margin-top: 45px;"">MESSAGE</h1>",null,,
null,,,html-keyboard-response,4,41299,0.0-4.0,"<h1 style=""font-size: 35px"">FRAGRANCE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">RELISH</h1>",null,,
null,,,html-keyboard-response,5,46053,0.0-5.0,"<h1 style=""font-size: 35px"">CHIPMUNK</h1><h1 style=""font-size: 35px; margin-top: 45px;"">CLOCK</h1>",null,,
null,,,html-keyboard-response,6,50809,0.0-6.0,"<h1 style=""font-size: 35px"">HORNET</h1><h1 style=""font-size: 35px; margin-top: 45px;"">PORTRAIT</h1>",null,,
null,,,html-keyboard-response,7,55566,0.0-7.0,"<h1 style=""font-size: 35px"">KETCHUP</h1><h1 style=""font-size: 35px; margin-top: 45px;"">RECORD</h1>",null,,
null,,,html-keyboard-response,8,60322,0.0-8.0,"<h1 style=""font-size: 35px"">PRIMATE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">HOOK</h1>",null,,
null,,,html-keyboard-response,9,65081,0.0-9.0,"<h1 style=""font-size: 35px"">COBRA</h1><h1 style=""font-size: 35px; margin-top: 45px;"">BEAST</h1>",null,,
