rt,responses,type,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,key_press,comparison_type,correct_side
8772,"{""name"":""Hokua_real""}",NAME,survey-html-form,0,8780,0.0-0.0-0.0,,,,
6251,,,html-keyboard-response,1,15238,0.0-1.0,Welcome to the <strong>Judgment of Recency</strong> experiment! <p>Press the Space Bar to see the instructions.</p>,32,,
27592,,,html-keyboard-response,2,43033,0.0-2.0,"<p>In this experiment, you will encounter a number of study and question cards.<p>The <strong>study cards</strong> will have two words on it. Take note of these words; you will be asked to judge how recently you have seen them. You will have four seconds to look at the study card.</p><p>The <strong>question cards</strong> will also show you two words (with a red question mark between the words to show that it is a question card). When you encounter a question card, indicate which of the two words shown have been seen on a study card most recently. If a word has not been seen on a study card yet, treat the word as if it occurred a very long time ago. You will indicate which word occurred most recently with the ‘A’ key for the word on the left side and the ‘L’ key for the word on the right side.</p><p>Each word will be seen at most twice: once on a study card and once on a question card.</p><p>Press the Space Bar to begin.</p>",32,,
null,,,html-keyboard-response,3,47785,0.0-3.0,"<h1 style=""font-size: 35px"">FRAME</h1><h1 style=""font-size: 35px; margin-top: 45px;"">BEEF</h1>",null,,
null,,,html-keyboard-response,4,52539,0.0-4.0,"<h1 style=""font-size: 35px"">TROMBONE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">APPLE</h1>",null,,
null,,,html-keyboard-response,5,57294,0.0-5.0,"<h1 style=""font-size: 35px"">AUTHOR</h1><h1 style=""font-size: 35px; margin-top: 45px;"">GARDEN</h1>",null,,
null,,,html-keyboard-response,6,62049,0.0-6.0,"<h1 style=""font-size: 35px"">CHIPMUNK</h1><h1 style=""font-size: 35px; margin-top: 45px;"">IGLOO</h1>",null,,
null,,,html-keyboard-response,7,66807,0.0-7.0,"<h1 style=""font-size: 35px"">INFANT</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SWORD</h1>",null,,
null,,,html-keyboard-response,8,71561,0.0-8.0,"<h1 style=""font-size: 35px"">TRUCK</h1><h1 style=""font-size: 35px; margin-top: 45px;"">TWEEZERS</h1>",null,,
null,,,html-keyboard-response,9,76315,0.0-9.0,"<h1 style=""font-size: 35px"">COUNTRY</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SKILLET</h1>",null,,
2698,,,html-keyboard-response,10,79766,0.0-10.0,"<h1 style=""font-size: 35px;"">CROWN<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>IGLOO</h1>",65,,
null,,,html-keyboard-response,11,84523,0.0-11.0,"<h1 style=""font-size: 35px"">CABIN</h1><h1 style=""font-size: 35px; margin-top: 45px;"">BOARD</h1>",null,,
10098,,,html-keyboard-response,12,95374,0.0-12.0,"<h1 style=""font-size: 35px;"">TROMBONE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>CHIPMUNK</h1>",76,,
null,,,html-keyboard-response,13,100131,0.0-13.0,"<h1 style=""font-size: 35px"">COUNTY</h1><h1 style=""font-size: 35px; margin-top: 45px;"">ISLAND</h1>",null,,
1716,,,html-keyboard-response,14,102598,0.0-14.0,"<h1 style=""font-size: 35px;"">SKILLET<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>TWEEZERS</h1>",76,,
null,,,html-keyboard-response,15,107355,0.0-15.0,"<h1 style=""font-size: 35px"">WHISKERS</h1><h1 style=""font-size: 35px; margin-top: 45px;"">WITNESS</h1>",null,,
1504,,,html-keyboard-response,16,109612,0.0-16.0,"<h1 style=""font-size: 35px;"">SWORD<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>PLIERS</h1>",76,,
null,,,html-keyboard-response,17,114364,0.0-17.0,"<h1 style=""font-size: 35px"">RUST</h1><h1 style=""font-size: 35px; margin-top: 45px;"">RAZOR</h1>",null,,
2293,,,html-keyboard-response,18,117411,0.0-18.0,"<h1 style=""font-size: 35px;"">TRUCK<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>ISLAND</h1>",76,,
null,,,html-keyboard-response,19,122168,0.0-19.0,"<h1 style=""font-size: 35px"">VIRUS</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SPHINX</h1>",null,,
940,,,html-keyboard-response,20,123861,0.0-20.0,"<h1 style=""font-size: 35px;"">RUST<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>INFANT</h1>",65,,
null,,,html-keyboard-response,21,128614,0.0-21.0,"<h1 style=""font-size: 35px"">PORK</h1><h1 style=""font-size: 35px; margin-top: 45px;"">GOBLIN</h1>",null,,
814,,,html-keyboard-response,22,130180,0.0-22.0,"<h1 style=""font-size: 35px;"">APPLE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>GOBLIN</h1>",76,,
null,,,html-keyboard-response,23,134936,0.0-23.0,"<h1 style=""font-size: 35px"">SLUG</h1><h1 style=""font-size: 35px; margin-top: 45px;"">BURGLAR</h1>",null,,
1834,,,html-keyboard-response,24,137523,0.0-24.0,"<h1 style=""font-size: 35px;"">HIKER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>BOARD</h1>",76,,
null,,,html-keyboard-response,25,142277,0.0-25.0,"<h1 style=""font-size: 35px"">FREEZER</h1><h1 style=""font-size: 35px; margin-top: 45px;"">TART</h1>",null,,
2036,,,html-keyboard-response,26,145067,0.0-26.0,"<h1 style=""font-size: 35px;"">CABIN<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>TART</h1>",76,,
null,,,html-keyboard-response,27,149822,0.0-27.0,"<h1 style=""font-size: 35px"">CRAB</h1><h1 style=""font-size: 35px; margin-top: 45px;"">STICKER</h1>",null,,
3405,,,html-keyboard-response,28,153978,0.0-28.0,"<h1 style=""font-size: 35px;"">FRAME<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>FREEZER</h1>",76,,
null,,,html-keyboard-response,29,158733,0.0-29.0,"<h1 style=""font-size: 35px"">CONCERT</h1><h1 style=""font-size: 35px; margin-top: 45px;"">DRINK</h1>",null,,
2512,,,html-keyboard-response,30,161996,0.0-30.0,"<h1 style=""font-size: 35px;"">STICKER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>COWBOY</h1>",76,,
