"rt","responses","type","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","comparison_type","correct_side"
"4025.7799999999406","{""name"":""Ben""}","NAME","survey-html-form","0","4031","0.0-0.0-0.0","","","",""
"4108.264999998937","","","html-keyboard-response","1","8346","0.0-1.0","Welcome to the <strong>Judgment of Recency</strong> experiment! <p>Press the Space Bar to see the instructions.</p>","32","",""
"35416.53000000224","","","html-keyboard-response","2","43965","0.0-2.0","<p>In this experiment, you will encounter a number of study and question cards.<p>The <strong>study cards</strong> will have two words on it. Take note of these words; you will be asked to judge how recently you have seen them. You will have four seconds to look at the study card.</p><p>The <strong>question cards</strong> will also show you two words (with a red question mark between the words to show that it is a question card). When you encounter a question card, indicate which of the two words shown have been seen on a study card most recently. If a word has not been seen on a study card yet, treat the word as if it occurred a very long time ago. You will indicate which word occurred most recently with the ‘A’ key for the word on the left side and the ‘L’ key for the word on the right side.</p><p>Each word will be seen at most twice: once on a study card and once on a question card.</p><p>Press the Space Bar to begin.</p>","32","",""
"null","","","html-keyboard-response","3","48717","0.0-3.0","<h1 style=""font-size: 35px"">PEBBLE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">GAVEL</h1>","null","",""
"null","","","html-keyboard-response","4","53474","0.0-4.0","<h1 style=""font-size: 35px"">SANDWICH</h1><h1 style=""font-size: 35px; margin-top: 45px;"">POISON</h1>","null","",""
"null","","","html-keyboard-response","5","58230","0.0-5.0","<h1 style=""font-size: 35px"">STALLION</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SHRUB</h1>","null","",""
"null","","","html-keyboard-response","6","62985","0.0-6.0","<h1 style=""font-size: 35px"">BROOK</h1><h1 style=""font-size: 35px; margin-top: 45px;"">PARSLEY</h1>","null","",""
"null","","","html-keyboard-response","7","67738","0.0-7.0","<h1 style=""font-size: 35px"">CARRIAGE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">JOURNAL</h1>","null","",""
"null","","","html-keyboard-response","8","72497","0.0-8.0","<h1 style=""font-size: 35px"">REPORT</h1><h1 style=""font-size: 35px; margin-top: 45px;"">BACON</h1>","null","",""
"null","","","html-keyboard-response","9","77257","0.0-9.0","<h1 style=""font-size: 35px"">BANJO</h1><h1 style=""font-size: 35px; margin-top: 45px;"">KITCHEN</h1>","null","",""
"1838.1799999988289","","","html-keyboard-response","10","79850","0.0-10.0","<h1 style=""font-size: 35px;"">ARM<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>PARSLEY</h1>","76","",""
"null","","","html-keyboard-response","11","84604","0.0-11.0","<h1 style=""font-size: 35px"">CREVICE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">FLESH</h1>","null","",""
"1370.0100000023667","","","html-keyboard-response","12","86728","0.0-12.0","<h1 style=""font-size: 35px;"">SANDWICH<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>BROOK</h1>","65","",""
"null","","","html-keyboard-response","13","91480","0.0-13.0","<h1 style=""font-size: 35px"">SPOOL</h1><h1 style=""font-size: 35px; margin-top: 45px;"">MUMMY</h1>","null","",""
"1155.655000002298","","","html-keyboard-response","14","93388","0.0-14.0","<h1 style=""font-size: 35px;"">KITCHEN<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>BACON</h1>","76","",""
"null","","","html-keyboard-response","15","98145","0.0-15.0","<h1 style=""font-size: 35px"">POET</h1><h1 style=""font-size: 35px; margin-top: 45px;"">MARS</h1>","null","",""
"3468.944999996893","","","html-keyboard-response","16","102370","0.0-16.0","<h1 style=""font-size: 35px;"">JOURNAL<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>OFFICE</h1>","65","",""
"null","","","html-keyboard-response","17","107124","0.0-17.0","<h1 style=""font-size: 35px"">DINER</h1><h1 style=""font-size: 35px; margin-top: 45px;"">TRUCK</h1>","null","",""
"1117.8149999977904","","","html-keyboard-response","18","108996","0.0-18.0","<h1 style=""font-size: 35px;"">REPORT<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>MUMMY</h1>","76","",""
"null","","","html-keyboard-response","19","113756","0.0-19.0","<h1 style=""font-size: 35px"">GLOBE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">FLUTE</h1>","null","",""
"1077.6149999983318","","","html-keyboard-response","20","115585","0.0-20.0","<h1 style=""font-size: 35px;"">DINER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>CARRIAGE</h1>","65","",""
"null","","","html-keyboard-response","21","120344","0.0-21.0","<h1 style=""font-size: 35px"">BUG</h1><h1 style=""font-size: 35px; margin-top: 45px;"">INFANT</h1>","null","",""
"926.7299999992247","","","html-keyboard-response","22","122021","0.0-22.0","<h1 style=""font-size: 35px;"">POISON<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>INFANT</h1>","76","",""
"null","","","html-keyboard-response","23","126779","0.0-23.0","<h1 style=""font-size: 35px"">BISON</h1><h1 style=""font-size: 35px; margin-top: 45px;"">DRESS</h1>","null","",""
"2722.6149999987683","","","html-keyboard-response","24","130256","0.0-24.0","<h1 style=""font-size: 35px;"">THIEF<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>FLESH</h1>","76","",""
"null","","","html-keyboard-response","25","135009","0.0-25.0","<h1 style=""font-size: 35px"">FREEZER</h1><h1 style=""font-size: 35px; margin-top: 45px;"">GANGSTER</h1>","null","",""
"999.4100000003527","","","html-keyboard-response","26","136763","0.0-26.0","<h1 style=""font-size: 35px;"">CREVICE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>GANGSTER</h1>","76","",""
"null","","","html-keyboard-response","27","141520","0.0-27.0","<h1 style=""font-size: 35px"">RABBIT</h1><h1 style=""font-size: 35px; margin-top: 45px;"">FLIPPER</h1>","null","",""
"1243.5550000009243","","","html-keyboard-response","28","143515","0.0-28.0","<h1 style=""font-size: 35px;"">PEBBLE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>FREEZER</h1>","76","",""
"null","","","html-keyboard-response","29","148268","0.0-29.0","<h1 style=""font-size: 35px"">CAMEL</h1><h1 style=""font-size: 35px; margin-top: 45px;"">POWDER</h1>","null","",""
"1193.874999997206","","","html-keyboard-response","30","150217","0.0-30.0","<h1 style=""font-size: 35px;"">FLIPPER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>GROUND</h1>","65","",""
"null","","","html-keyboard-response","31","154968","0.0-31.0","<h1 style=""font-size: 35px"">TUBA</h1><h1 style=""font-size: 35px; margin-top: 45px;"">HEADBAND</h1>","null","",""
"1484.550000001036","","","html-keyboard-response","32","157209","0.0-32.0","<h1 style=""font-size: 35px;"">MARS<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>STALLION</h1>","76","",""
"null","","","html-keyboard-response","33","161967","0.0-33.0","<h1 style=""font-size: 35px"">ICEBERG</h1><h1 style=""font-size: 35px; margin-top: 45px;"">PECAN</h1>","null","",""
"1225.9849999973085","","","html-keyboard-response","34","163950","0.0-34.0","<h1 style=""font-size: 35px;"">FLUTE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>POET</h1>","76","",""
"null","","","html-keyboard-response","35","168707","0.0-35.0","<h1 style=""font-size: 35px"">GARDEN</h1><h1 style=""font-size: 35px; margin-top: 45px;"">CATCHER</h1>","null","",""
"1240.4800000003888","","","html-keyboard-response","36","170703","0.0-36.0","<h1 style=""font-size: 35px;"">BUG<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>GARDEN</h1>","76","",""
"null","","","html-keyboard-response","37","175462","0.0-37.0","<h1 style=""font-size: 35px"">CANYON</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SUNSET</h1>","null","",""
"946.5100000015809","","","html-keyboard-response","38","177165","0.0-38.0","<h1 style=""font-size: 35px;"">DOUGHNUT<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>CATCHER</h1>","76","",""
