more_recent_lag,less_recent_lag,accuracy,error
-1,-7,0.854181421,0.017813659
-1,-6,0.846573952,0.016600285
-1,-5,0.834108212,0.017813659
-1,-4,0.824878931,0.016194235
-1,-3,0.768688757,0.018219709
-1,-2,0.761890999,0.019029421
-2,-7,0.73839025,0.020646456
-2,-6,0.73078517,0.021457362
-2,-5,0.70050816,0.020648844
-2,-4,0.675891967,0.023481641
-2,-3,0.643993145,0.020242794
-3,-7,0.688997832,0.022268268
-3,-6,0.663579093,0.022673124
-3,-5,0.628441424,0.026719294
-3,-4,0.590064908,0.021457362
-4,-7,0.644463685,0.022265879
-4,-6,0.600421576,0.025101065
-4,-5,0.576619871,0.023482835
-5,-7,0.593451844,0.02064765
-5,-6,0.534832534,0.019837938
-6,-7,0.497905856,0
